url,title,date,publisher,content
http://xinghuo.njit.edu.cn/info/1011/13354.htm,赓续恩来精神 争做时代新人——史国君书记带领青年学子开展主题团日活动,2021-05-10,国际教育学院 校团委,“在花下树前，大家一边赏花，一边缅怀你，想念你，仿佛你仍在我们中间。”这是邓颖超《从西花厅海棠花忆起》中的一段感人肺腑之言。如今，海棠花谢，斯人犹在；海棠花开，盛世自来。为了真切怀念人民的好总理，追忆周总理的“楷模人生”，5月9日，软工（中外）201班第二班主任、校党委书记史国君带领班级全体共青团员前往淮安周恩来纪念馆、黄花塘新四军军部纪念馆开展主题团日活动，瞻仰革命丰碑，致敬革命先烈。校团委、国际教育学院学生工作负责人一同参加此次活动。
http://xinghuo.njit.edu.cn/info/1011/13353.htm,辛勤劳动淬炼党性 劳动教育正当其时​——校领导与师生共上一堂劳动实践课,2021-05-10,后勤保障处 机械工程学院,5月10日上午，炎炎烈日下，一副在乡间地头才能看到的务农景象，出现在了我校工程实践中心与北区足球场之间的油菜田里，机械191班第二班主任、党委副书记、院长史金飞，党委常委、副院长郑锋带领后勤保障处以及机械工程学院的师生们拿起镰刀，干起了“收割油菜”的农活儿。
http://xinghuo.njit.edu.cn/info/1011/13352.htm,党史教育见实效  校地合作促双赢——我校与淮安市人民政府携手推进校地深度合作,2021-05-10,发展与对外合作处,5月10日上午，淮安市人民政府—南京工程学院校地深度合作推进大会在淮安市举行。我校党委书记史国君、淮安市人民政府副市长王向红出席大会并讲话。我校党委常委、副院长张仰飞，党委常委、组织部、统战部部长朱松青等参加活动。大会由淮安经开区党工委书记徐子佳主持。淮安市委副书记、市长陈之常专程看望参加活动的双方代表。
http://xinghuo.njit.edu.cn/info/1011/13351.htm,史金飞院长应邀参加2021届南京•大学毕业典礼 我校喜获“引凤奖”,2021-05-10,党委办公室 校长办公室,5月9日，我校党委副书记、院长史金飞应邀出席在江苏大剧院举行的“创新，有‘宁’更精彩——让青春在这里盛放”2021届南京•大学生毕业典礼。这是南京市举办的首届南京大学生毕业典礼。南京市委书记韩立明出席典礼并为毕业生们送上美好祝福。市级相关部门负责同志，高校院所领导等出席典礼。
http://xinghuo.njit.edu.cn/info/1011/13344.htm,接续奋斗争朝夕  戮力同心启新程——我校第四届教代会、工代会第三次会议闭幕,2021-05-08,校工会 党委宣传部,8日下午，我校第四届教代会、工代会第三次会议主席团召开会议听取了各代表团分组讨论情况汇报。下午15:30，在圆满完成会议预定的各项议程后，大会在至勤楼•行政中心多功能厅闭幕。闭幕式由党委副书记濮励杰同志主持。大会通过了《南京工程学院第四届教职工代表大会、工会会员代表大会第三次会议决议》。
http://xinghuo.njit.edu.cn/info/1011/13340.htm,凝心聚力 守正创新 加快建设特色鲜明的一流应用型工程大学——我校第四届教代会、工代会第三次会议开幕,2021-05-08,校工会 党委宣传部,5月8日上午，我校第四届教职工代表大会、第四届工会会员代表大会第三次会议在至勤楼•行政中心多功能厅举行。来自全校17个代表团的258名正式代表、列席代表和特邀代表参加了会议。大会由党委副书记濮励杰同志主持。
http://xinghuo.njit.edu.cn/info/1011/13336.htm,【校际交流】南京体育学院李江副校长一行来我校专题调研党史学习教育工作,2021-05-07,党委宣传部,5月7日下午，南京体育学院李江副校长率该校党史学习教育领导小组办公室成员一行9人来我校专题调研党史学习教育工作，校党委副书记濮励杰在至勤楼·行政中心南201会议室接待了来宾。
http://xinghuo.njit.edu.cn/info/1011/13296.htm,学党史培根铸魂 强信念立德树人——我校举办“劳模精神进校园“活动,2021-04-30,党委宣传部 党办校办 校工会 校友会办公室 学工处,4月29日下午，五一国际劳动节、五四青年节即将到来之际，我校组织全校500余名干部师生走进一场别开生面的劳模课堂，共同聆听三位劳模工匠讲述他们的奋斗故事和肺腑感言，共同感知敬业、奋斗、精益求精、勇于创新的劳模精神、工匠精神，这也是我校丰富多彩的党史学习教育中重要的一课。
http://xinghuo.njit.edu.cn/info/1011/13307.htm,我校召开二级基层党组织书记向纪委述责述廉会议,2021-04-30,纪委办公室,4月29日下午，我校在行政北楼303会议室召开二级基层党组织书记向纪委述责述廉工作会议。校纪委书记（监察专员）赵立法出席会议并讲话。校纪委委员、二级基层党组织书记、纪委机关各处负责人参加了会议。
http://xinghuo.njit.edu.cn/info/1011/13302.htm,江苏省教育厅关于高校学生食堂管理情况专题调研会在我校召开,2021-04-30,后勤保障处,4月28日，江苏省教育厅关于高校学生食堂管理情况专题调研会在我校至勤楼·行政中心北303会议室召开。我校党委常委、副院长郑锋参加会议致欢迎辞并进行了交流发言。南京师范大学党委副书记尚洪波、省财政厅教科文处副处长朱敏等6位调研组专家及南京航空航天大学、南京师范大学、南京邮电大学、南京林业大学、南京医科大学、南京艺术学院、南京晓庄学院、南京信息职业技术学院、三江学院9个高校的领导参加了本次会议。
http://xinghuo.njit.edu.cn/info/1011/13294.htm,齐心共筑免疫屏障——我校全面启动新冠病毒疫苗接种工作,2021-04-28,党委宣传部,根据南京市新冠疫苗接种工作整体部署，4月28日，我校新冠病毒疫苗接种工作有序启动。当天上午，党委书记史国君等校领导第一时间来到学校集中接种点，带头完成首剂新冠病毒疫苗接种，并看望、鼓励在场师生，关心、慰问一线工作人员和学生志愿者。
http://xinghuo.njit.edu.cn/info/1011/13291.htm,中国教育会计学会第八届理事会第一次会长扩大会在我校召开,2021-04-28,财务处,4月27日，中国教育会计学会第八届理事会第一次会长扩大会议在我校天印会议中心召开。我校党委书记史国君出席会议并致欢迎词。中国教育会计学会会长武德昆，副会长郝丽霞、江苏省教育厅财务与资产管理处处长周亚君及相关省教育会计学会会长和秘书长等15位领导及专家参加了本次会议。
http://xinghuo.njit.edu.cn/info/1011/13292.htm,【校际交流】宁波工程学院党委副书记胡敏一行来我校调研,2021-04-28,人事处/人力资源管理与交流中心,4月28日上午，宁波工程学院党委副书记胡敏一行5人来我校调研考察并举行交流座谈，校党委副书记、副院长曹雪虹在至勤楼·行政中心北305会议室接待了来宾。
http://xinghuo.njit.edu.cn/info/1011/13385.htm,江苏省高校安全检查组来我校检查安全工作,2021-05-14,保卫处,根据江苏省教育厅关于集中开展“创平安迎七一”全省高校安全大检查工作的统一部署，5月13日下午，以中国矿业大学副校长赵建岭为组长的省高校安全检查第六工作组一行来我校检查安全工作，我校党委副书记、院长史金飞出席在至勤楼·行政中心303会议室举行的专家见面会并致辞。
